E (keV),linear attenuation coeff,P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um)
149,24.7,0.7815,0.69086,0.61074,0.5399,0.47729
159,20.9,0.81139,0.73088,0.65836,0.59303,0.53419
170,17.7,0.83738,0.76628,0.70121,0.64167,0.58718
182,15.1,0.85995,0.79746,0.73952,0.68578,0.63595
194,12.9,0.87936,0.82461,0.77327,0.72512,0.67998
208,11,0.89598,0.8481,0.80278,0.75988,0.71927
222,9.41,0.91018,0.86835,0.82843,0.79035,0.75402
237,8.09,0.9223,0.88574,0.85063,0.81692,0.78453
254,6.98,0.93262,0.90065,0.86977,0.83996,0.81116
271,6.04,0.9414,0.9134,0.88623,0.85987,0.8343
290,5.25,0.94887,0.92429,0.90035,0.87703,0.85432
310,4.58,0.95523,0.9336,0.91246,0.8918,0.8716
332,4.02,0.96064,0.94154,0.92282,0.90448,0.8865
354,3.54,0.96525,0.94833,0.9317,0.91537,0.89932
379,3.13,0.96918,0.95413,0.93931,0.92472,0.91036
405,2.78,0.97254,0.9591,0.94584,0.93276,0.91986
