E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (100 um),P(xi) (200 um),P(xi) (300 um),P(xi) (400 um),P(xi) (500 um),P(xi) (1000 um)
3.10E+02,1.08E-01,,2.5088E-01,,9.9749E-01,9.9499E-01,9.9250E-01,9.9001E-01,9.8753E-01,9.7522E-01
3.32E+02,1.05E-01,,2.4402E-01,,9.9756E-01,9.9513E-01,9.9271E-01,9.9029E-01,9.8787E-01,9.7589E-01
3.54E+02,1.02E-01,,2.3724E-01,,9.9763E-01,9.9527E-01,9.9291E-01,9.9056E-01,9.8821E-01,9.7655E-01
3.79E+02,9.94E-02,,2.3058E-01,,9.9770E-01,9.9540E-01,9.9311E-01,9.9082E-01,9.8854E-01,9.7721E-01
4.05E+02,9.66E-02,,2.2402E-01,,9.9776E-01,9.9553E-01,9.9330E-01,9.9108E-01,9.8886E-01,9.7785E-01
4.33E+02,9.38E-02,,2.1756E-01,,9.9783E-01,9.9566E-01,9.9349E-01,9.9134E-01,9.8918E-01,9.7848E-01
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
