E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=200 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (500 um),P(xi) (d=1000 um)
1.07E+02,1.48E-01,,3.34E-01,,0.9933479912,9.9004E-01,9.8674E-01,9.8345E-01,9.6718E-01
1.14E+02,1.45E-01,,3.27E-01,,0.9934853927,9.9024E-01,9.8701E-01,9.8379E-01,9.6785E-01
1.22E+02,1.42E-01,,3.20E-01,,0.9936210167,9.9045E-01,9.8728E-01,9.8413E-01,9.6851E-01
1.30E+02,1.39E-01,,3.13E-01,,0.9937553116,9.9065E-01,9.8755E-01,9.8446E-01,9.6916E-01
1.39E+02,1.36E-01,,3.07E-01,,0.9938887263,9.9085E-01,9.8781E-01,9.8479E-01,9.6981E-01
1.49E+02,1.33E-01,,3.00E-01,,0.9940208109,9.9104E-01,9.8808E-01,9.8512E-01,9.7046E-01
1.59E+02,1.30E-01,,2.93E-01,,0.9941511157,9.9124E-01,9.8834E-01,9.8544E-01,9.7110E-01
1.70E+02,1.27E-01,,2.87E-01,,0.9942805388,9.9143E-01,9.8859E-01,9.8576E-01,9.7173E-01
1.82E+02,1.24E-01,,2.80E-01,,0.9944090797,9.9163E-01,9.8885E-01,9.8608E-01,9.7236E-01
1.94E+02,1.21E-01,,2.74E-01,,0.9945358391,9.9181E-01,9.8910E-01,9.8640E-01,9.7298E-01
2.08E+02,1.18E-01,,2.68E-01,,0.994661266,9.9200E-01,9.8935E-01,9.8671E-01,9.7359E-01
2.22E+02,1.16E-01,,2.61E-01,,0.9947853597,9.9219E-01,9.8960E-01,9.8701E-01,9.7420E-01
2.37E+02,1.13E-01,,2.55E-01,,0.9949072204,9.9237E-01,9.8984E-01,9.8732E-01,9.7479E-01
2.54E+02,1.10E-01,,2.49E-01,,0.9950281965,9.9255E-01,9.9008E-01,9.8762E-01,9.7539E-01
2.71E+02,1.08E-01,,2.43E-01,,0.9951469383,9.9273E-01,9.9032E-01,9.8791E-01,9.7597E-01
2.90E+02,1.05E-01,,2.37E-01,,0.9952638949,9.9290E-01,9.9055E-01,9.8820E-01,9.7654E-01
3.10E+02,1.02E-01,,2.32E-01,,0.9953790655,9.9308E-01,9.9078E-01,9.8849E-01,9.7711E-01
3.32E+02,1.00E-01,,2.26E-01,,0.9954920447,9.9325E-01,9.9100E-01,9.8877E-01,9.7766E-01
3.54E+02,9.75E-02,,2.20E-01,,0.9956029216,9.9341E-01,9.9123E-01,9.8904E-01,9.7821E-01
3.79E+02,9.51E-02,,2.15E-01,,0.9957115605,9.9357E-01,9.9144E-01,9.8931E-01,9.7874E-01
4.05E+02,9.27E-02,,2.10E-01,,0.9958180058,9.9373E-01,9.9165E-01,9.8958E-01,9.7926E-01
4.33E+02,9.04E-02,,2.04E-01,,0.9959221216,9.9389E-01,9.9186E-01,9.8984E-01,9.7978E-01
