E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=1000 um),P(xi) (d=2000 um),P(xi) (d=3000 um)
4.13E-01,8.80E+03,,7.5931E+04,,0.0000E+00,0.0000E+00,0.0000E+00
4.19E-01,8.90E+03,,7.6808E+04,,0.0000E+00,0.0000E+00,0.0000E+00
4.20E-01,8.91E+03,,7.6928E+04,,0.0000E+00,0.0000E+00,0.0000E+00
4.48E-01,9.41E+03,,8.1198E+04,,0.0000E+00,0.0000E+00,0.0000E+00
4.79E-01,9.69E+03,,8.3584E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.12E-01,9.54E+03,,8.2343E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.48E-01,9.10E+03,,7.8552E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.61E-01,8.88E+03,,7.6656E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.69E-01,8.74E+03,,7.5389E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.71E-01,8.71E+03,,7.5152E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.72E-01,8.70E+03,,7.5052E+04,,0.0000E+00,0.0000E+00,0.0000E+00
5.75E-01,1.62E+04,,1.3988E+05,,0.0000E+00,0.0000E+00,0.0000E+00
5.80E-01,1.59E+04,,1.3752E+05,,0.0000E+00,0.0000E+00,0.0000E+00
5.82E-01,1.58E+04,,1.3636E+05,,0.0000E+00,0.0000E+00,0.0000E+00
5.84E-01,2.06E+04,,1.7801E+05,,0.0000E+00,0.0000E+00,0.0000E+00
5.86E-01,2.05E+04,,1.7649E+05,,0.0000E+00,0.0000E+00,0.0000E+00
5.94E-01,1.98E+04,,1.7044E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.04E-01,1.90E+04,,1.6404E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.13E-01,1.83E+04,,1.5811E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.16E-01,1.81E+04,,1.5653E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.20E-01,1.88E+04,,1.6212E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.26E-01,1.83E+04,,1.5788E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.29E-01,1.81E+04,,1.5642E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.38E-01,1.76E+04,,1.5175E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.47E-01,1.70E+04,,1.4661E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.50E-01,1.68E+04,,1.4525E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.54E-01,1.70E+04,,1.4642E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.64E-01,1.64E+04,,1.4130E+05,,0.0000E+00,0.0000E+00,0.0000E+00
6.69E-01,1.60E+04,,1.3840E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.15E-01,1.39E+04,,1.1964E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.55E-01,1.24E+04,,1.0663E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.65E-01,1.20E+04,,1.0341E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.66E-01,1.19E+04,,1.0298E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.69E-01,1.18E+04,,1.0211E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.74E-01,1.19E+04,,1.0291E+05,,0.0000E+00,0.0000E+00,0.0000E+00
7.86E-01,1.16E+04,,9.9683E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.02E-01,1.10E+04,,9.5150E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.15E-01,1.07E+04,,9.2030E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.18E-01,1.06E+04,,9.1288E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.18E-01,1.06E+04,,9.1217E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.23E-01,1.12E+04,,9.6635E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.35E-01,1.09E+04,,9.3734E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.52E-01,1.04E+04,,8.9800E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.65E-01,1.01E+04,,8.6916E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.69E-01,9.98E+03,,8.6160E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.74E-01,1.02E+04,,8.7673E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.74E-01,1.02E+04,,8.7663E+04,,0.0000E+00,0.0000E+00,0.0000E+00
8.87E-01,9.86E+03,,8.5083E+04,,0.0000E+00,0.0000E+00,0.0000E+00
9.34E-01,8.84E+03,,7.6289E+04,,0.0000E+00,0.0000E+00,0.0000E+00
9.86E-01,7.91E+03,,6.8233E+04,,0.0000E+00,0.0000E+00,0.0000E+00
9.99E-01,7.69E+03,,6.6347E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.00E+00,7.65E+03,,6.6037E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.00E+00,7.58E+03,,6.5456E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.01E+00,7.68E+03,,6.6283E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.03E+00,7.43E+03,,6.4130E+04,,0.0000E+00,0.0000E+00,0.0000E+00
1.07E+00,6.78E+03,,5.8500E+04,,0.0000E+00,0.0000E+00,0.0000E+00
