E (keV),a (cm^2/g),rho (g/cm^3),d (cm),P(xi) d=1800um,P(xi) d=1900um,P(xi) d=2200um,P(xi) d=2800um,P(xi) d=3000um,P(xi) d=4300um,P(xi) d=4600um,P(xi) d=4900um
6.68E+01,1.18E+00,,,7.28E-01,5.89E-01,3.47E-01,1.20E-01,4.18E-02,,,
7.15E+01,9.99E-01,,,7.65E-01,6.40E-01,4.09E-01,1.68E-01,6.86E-02,,,
7.64E+01,8.47E-01,,,7.97E-01,6.85E-01,4.69E-01,2.20E-01,1.03E-01,,,
8.17E+01,7.21E-01,,,8.24E-01,7.25E-01,5.25E-01,2.76E-01,1.45E-01,,,
8.73E+01,6.16E-01,,,8.48E-01,7.59E-01,5.77E-01,3.33E-01,1.92E-01,,,
9.33E+01,5.29E-01,,,8.68E-01,7.89E-01,6.23E-01,3.88E-01,2.42E-01,,,
9.98E+01,4.57E-01,,,8.85E-01,8.15E-01,6.64E-01,4.41E-01,2.93E-01,,,
1.07E+02,3.98E-01,,,8.99E-01,8.37E-01,7.00E-01,4.91E-01,3.44E-01,,,
1.14E+02,3.49E-01,,,9.11E-01,8.55E-01,7.32E-01,5.35E-01,3.92E-01,,,
1.22E+02,3.09E-01,,,9.21E-01,8.71E-01,7.59E-01,5.76E-01,4.37E-01,,,
1.30E+02,2.75E-01,,,9.29E-01,8.84E-01,7.82E-01,6.11E-01,4.78E-01,,,
1.39E+02,2.47E-01,,,9.36E-01,8.95E-01,8.02E-01,6.43E-01,5.16E-01,,,
1.49E+02,2.23E-01,,,9.42E-01,9.05E-01,8.19E-01,6.71E-01,5.49E-01,,,
1.59E+02,2.04E-01,,,9.47E-01,9.13E-01,8.34E-01,6.95E-01,5.79E-01,,,
1.70E+02,1.87E-01,,,9.51E-01,9.20E-01,8.46E-01,7.16E-01,6.06E-01,,,
1.82E+02,1.73E-01,,,9.55E-01,9.26E-01,8.57E-01,7.34E-01,6.29E-01,,,
1.94E+02,1.61E-01,,,9.58E-01,9.31E-01,8.66E-01,7.50E-01,6.50E-01,,,
2.08E+02,1.50E-01,,,9.61E-01,9.35E-01,8.74E-01,7.64E-01,6.68E-01,,,
2.22E+02,1.41E-01,,,9.63E-01,9.39E-01,8.81E-01,7.77E-01,6.85E-01,,,
2.37E+02,1.33E-01,,,9.65E-01,9.42E-01,8.88E-01,7.88E-01,6.99E-01,,,
2.54E+02,1.26E-01,,,9.67E-01,9.45E-01,8.93E-01,7.98E-01,7.13E-01,,,
2.71E+02,1.20E-01,,,9.68E-01,9.48E-01,8.98E-01,8.07E-01,7.25E-01,,,
2.90E+02,1.15E-01,,,9.70E-01,9.50E-01,9.03E-01,8.15E-01,7.35E-01,,,
3.10E+02,1.10E-01,,,9.71E-01,9.52E-01,9.07E-01,8.22E-01,7.45E-01,,,
3.32E+02,1.05E-01,,,9.72E-01,9.54E-01,9.10E-01,8.29E-01,7.54E-01,,,
3.54E+02,1.01E-01,,,9.73E-01,9.56E-01,9.14E-01,8.35E-01,7.63E-01,,,
3.79E+02,9.70E-02,,,9.74E-01,9.58E-01,9.17E-01,8.41E-01,7.71E-01,,,
4.05E+02,9.34E-02,,,9.75E-01,9.59E-01,9.20E-01,8.46E-01,7.79E-01,,,
4.33E+02,9.00E-02,,,9.76E-01,9.61E-01,9.23E-01,8.51E-01,7.86E-01,,,
