,Dist,Energy,NT,TH
0,71507.30116,3.50084175084,71507.30116,275.598659996
1,48062.1341196,4.00168350168,48062.1341196,219.562244581
2,29303.8626626,4.50252525253,29303.8626626,179.677975101
3,17729.0676555,5.00336700337,17729.0676555,150.184218012
4,11501.7478747,5.50420875421,11501.7478747,127.699437238
5,7757.11794168,6.00505050505,7757.11794168,110.126535429
6,10702.803086,6.50589225589,10702.803086,96.1055859699
7,25327.9705808,7.00673400673,25327.9705808,84.7215183149
8,2507.15747998,7.50757575758,2507.15747998,75.3391596685
9,3204.58912995,8.00841750842,3204.58912995,67.5057705741
10,1874.32347396,8.50925925926,1874.32347396,60.8911692712
11,932.926646989,9.0101010101,932.926646989,55.2496938637
12,666.789209461,9.51094276094,666.789209461,50.3953227425
13,473.195814591,10.0117845118,473.195814591,46.1849796303
14,343.800609242,10.5126262626,343.800609242,42.5070740858
15,252.833118734,11.0134680135,252.833118734,39.2734751795
16,188.124551148,11.5143097643,188.124551148,36.4137869879
17,141.884753155,12.0151515152,141.884753155,33.8711984679
18,108.655065742,12.515993266,108.655065742,31.5994297556
19,84.6227520098,13.0168350168,84.6227520098,29.5604546465
20,67.0678078934,13.5176767677,67.0678078934,27.6503225418
21,52.4231848716,14.0185185185,52.4231848716,24.1679587363
22,41.5140023629,14.5193602694,41.5140023629,21.2242391793
23,33.3089538829,15.0202020202,33.3089538829,18.7213623302
24,27.0823642738,15.521043771,27.0823642738,16.5817511757
25,22.3109778807,16.0218855219,22.3109778807,14.7433915923
26,18.616317716,16.5227272727,18.616317716,13.1563492254
27,15.7229824436,17.0235690236,15.7229824436,11.7801421345
28,13.4313883238,17.5244107744,13.4313883238,10.5817412596
29,11.5955055557,18.0252525253,11.5955055557,9.53403594354
30,10.1073417136,18.5260942761,10.1073417136,8.61464706863
31,8.88722822336,19.0269360269,8.88722822336,7.80500225214
32,7.87475693292,19.5277777778,7.87475693292,7.08961019105
33,7.02529640605,20.0286195286,7.02529640605,6.45548750331
34,6.30568478616,20.5294612795,6.30568478616,5.89170318158
35,5.68995801155,21.0303030303,5.68995801155,5.38901437466
36,5.1583894841,21.5311447811,5.1583894841,4.93957354468
37,4.69602099756,22.031986532,4.69602099756,4.53669175009
38,4.29062247318,22.5328282828,4.29062247318,4.17464632076
39,3.93308640638,23.0336700337,3.93308640638,3.8485238401
40,3.61571528542,23.5345117845,3.61571528542,3.55409135747
41,3.33266634994,24.0353535354,3.33266634994,3.28769028717
42,3.0789637639,24.5361952862,3.0789637639,3.04614862699
43,2.85067197582,25.037037037,2.85067197582,2.82670803866
44,2.64447030459,25.5378787879,2.64447030459,2.62696303849
45,2.45759649305,26.0387205387,2.45759649305,2.44481009809
46,2.28775925208,26.5395622896,2.28775925208,2.27840488765
47,2.13296633831,27.0404040404,2.13296633831,2.12612623579
48,1.99154902622,27.5412457912,1.99154902622,1.98654565058
49,1.86206606659,28.0420875421,1.86206606659,1.85840146179
50,1.74325966059,28.5429292929,1.74325966059,1.74057681641
51,1.63404525877,29.0437710438,1.63404525877,1.63208089824
52,1.53347331056,29.5446127946,1.53347331056,1.53203285351
53,1.44070385243,30.0454545455,1.44070385243,1.43964799497
54,1.35499955249,30.5462962963,1.35499955249,1.35422593013
55,1.27570801759,31.0471380471,1.27570801759,1.27514031917
56,1.20224669828,31.547979798,1.20224669828,1.201830017
57,1.13409712016,32.0488215488,1.13409712016,1.13379139415
58,1.07079589562,32.5496632997,1.07079589562,1.07057166409
59,1.01192783227,33.0505050505,1.01192783227,1.0117630723
60,0.9571188934,33.5513468013,0.9571188934,0.956997824634
61,0.906032586883,34.0521885522,0.906032586883,0.905943651777
62,0.858365230521,34.553030303,0.858365230521,0.858299922
63,0.81384222119,35.0538720539,0.81384222119,0.813794227794
64,0.77221469815,35.5547138047,0.77221469815,0.772179382812
65,0.733256754171,36.0555555556,0.733256754171,0.733230774902
66,0.696763134712,36.5563973064,0.696763134712,0.696744028784
67,0.662546985501,37.0572390572,0.662546985501,0.662532938524
68,0.63043796757,37.5580808081,0.63043796757,0.630427635538
69,0.600280574169,38.0589225589,0.600280574169,0.600272962597
70,0.571932634441,38.5597643098,0.571932634441,0.571927028338
71,0.54526404825,39.0606060606,0.54526404825,0.545259920223
72,0.520155595715,39.5614478114,0.520155595715,0.520152556821
73,0.496497899345,40.0622895623,0.496497899345,0.496495662805
74,0.474190499323,40.5631313131,0.474190499323,0.474188852215
75,0.453141022184,41.063973064,0.453141022184,0.453139807388
76,0.433264438327,41.5648148148,0.433264438327,0.433263542554
77,0.414482402883,42.0656565657,0.414482402883,0.414481742491
78,0.396722654545,42.5664983165,0.396722654545,0.396722167785
79,0.379918478031,43.0673400673,0.379918478031,0.379918119332
80,0.364008219814,43.5681818182,0.364008219814,0.364007955543
81,0.348934851429,44.069023569,0.348934851429,0.348934656568
82,0.334645574356,44.5698653199,0.334645574356,0.334645430463
83,0.321091463103,45.0707070707,0.321091463103,0.321091356865
84,0.308227142649,45.5715488215,0.308227142649,0.308227064226
85,0.296010495005,46.0723905724,0.296010495005,0.296010437124
86,0.284402393276,46.5732323232,0.284402393276,0.284402350565
87,0.273366460023,47.0740740741,0.273366460023,0.273366428511
88,0.262868847471,47.5749158249,0.262868847471,0.262868824226
89,0.252878037381,48.0757575758,0.252878037381,0.252878020234
90,0.243364658656,48.5765993266,0.243364658656,0.243364645979
91,0.234301320819,49.0774410774,0.234301320819,0.234301311448
92,0.225662462143,49.5782828283,0.225662462143,0.225662455217
93,0.217424210657,50.0791245791,0.217424210657,0.217424205538
