E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=200 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=50 um),P(x) (d=100 um)
3.32E+02,1.02E-01,,2.7477E-01,,9.9452E-01,9.9179E-01,9.8907E-01,9.8636E-01,9.9863E-01,9.9726E-01
3.54E+02,9.92E-02,,2.6713E-01,,9.9467E-01,9.9202E-01,9.8937E-01,9.8673E-01,9.9867E-01,9.9733E-01
3.79E+02,9.64E-02,,2.5959E-01,,9.9482E-01,9.9224E-01,9.8967E-01,9.8710E-01,9.9870E-01,9.9741E-01
4.05E+02,9.36E-02,,2.5215E-01,,9.9497E-01,9.9246E-01,9.8996E-01,9.8747E-01,9.9874E-01,9.9748E-01
4.33E+02,9.09E-02,,2.4480E-01,,9.9512E-01,9.9268E-01,9.9026E-01,9.8783E-01,9.9878E-01,9.9755E-01
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
,,,0.0000E+00,,,,,,,
