E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=50 um),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),,
5.00E+02,1.53E-01,,,,1.00E+00,9.71E-01,9.58E-01,9.44E-01,9.30E-01,9.17E-01,,
6.00E+02,1.19E-01,,,,9.89E-01,9.78E-01,9.67E-01,9.56E-01,9.45E-01,9.35E-01,,
8.00E+02,8.60E-02,,,,9.92E-01,9.84E-01,9.76E-01,9.68E-01,9.60E-01,9.52E-01,,
1.00E+03,6.95E-02,,,,9.93E-01,9.87E-01,9.80E-01,9.74E-01,9.68E-01,9.61E-01,,
1.25E+03,5.79E-02,,,,9.95E-01,9.89E-01,9.84E-01,9.78E-01,9.73E-01,9.68E-01,,
1.50E+03,5.17E-02,,,,9.95E-01,9.90E-01,9.85E-01,9.81E-01,9.76E-01,9.71E-01,,
2.00E+03,4.57E-02,,,,9.96E-01,9.91E-01,9.87E-01,9.83E-01,9.79E-01,9.74E-01,,
3.00E+03,4.20E-02,,,,9.96E-01,9.92E-01,9.88E-01,9.84E-01,9.80E-01,9.76E-01,,
4.00E+03,4.17E-02,,,,9.96E-01,9.92E-01,9.88E-01,9.84E-01,9.80E-01,9.77E-01,,
5.00E+03,4.24E-02,,,,9.96E-01,9.92E-01,9.88E-01,9.84E-01,9.80E-01,9.76E-01,,
6.00E+03,4.36E-02,,,,9.96E-01,9.92E-01,9.88E-01,9.84E-01,9.80E-01,9.76E-01,,
8.00E+03,4.63E-02,,,,9.96E-01,9.91E-01,9.87E-01,9.83E-01,9.78E-01,9.74E-01,,
1.00E+04,4.93E-02,,,,9.95E-01,9.91E-01,9.86E-01,9.82E-01,9.77E-01,9.72E-01,,
1.50E+04,5.60E-02,,,,9.95E-01,9.89E-01,9.84E-01,9.79E-01,9.74E-01,9.69E-01,,
